event_time,event_name,user_id,session_id,news_id,term,source,surface,message,payload_json
2025-10-22T04:29:58.788643+00:00,news_detail_open,user_cea7d5c3,sess_09944726fbf3,1,,,detail,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T04:30:02.958245+00:00,session_start,user_cea7d5c3,sess_c6b5c843e7b4,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T04:30:02.959451+00:00,glossary_click,user_cea7d5c3,sess_c6b5c843e7b4,1,양적완화,news_highlight,detail,,"{""via"": ""query_param""}"
2025-10-22T04:30:02.960447+00:00,glossary_answer,user_cea7d5c3,sess_c6b5c843e7b4,1,양적완화,news_highlight,detail,,"{""answer_len"": 178}"
2025-10-22T04:30:02.964978+00:00,news_detail_open,user_cea7d5c3,sess_c6b5c843e7b4,1,,,detail,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T04:30:06.769519+00:00,glossary_click,user_cea7d5c3,sess_c6b5c843e7b4,1,기준금리,news_highlight,detail,,"{""click_count"": 1}"
2025-10-22T04:30:06.770492+00:00,glossary_answer,user_cea7d5c3,sess_c6b5c843e7b4,1,기준금리,news_highlight,detail,,"{""answer_len"": 177}"
2025-10-22T04:30:10.780107+00:00,session_start,user_cea7d5c3,sess_2dc2ca5d2e78,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T04:30:10.781615+00:00,glossary_click,user_cea7d5c3,sess_2dc2ca5d2e78,1,양적완화,news_highlight,detail,,"{""via"": ""query_param""}"
2025-10-22T04:30:10.782635+00:00,glossary_answer,user_cea7d5c3,sess_2dc2ca5d2e78,1,양적완화,news_highlight,detail,,"{""answer_len"": 178}"
2025-10-22T04:30:10.786721+00:00,news_detail_open,user_cea7d5c3,sess_2dc2ca5d2e78,1,,,detail,,"{""title"": ""한국은행, 기준금리 동결 결정""}"
2025-10-22T04:31:19.402333+00:00,session_start,user_1f4f61d4,sess_fbc1d2690604,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T04:31:20.433861+00:00,news_click,user_1f4f61d4,sess_fbc1d2690604,2,,list,home,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-22T04:31:20.537998+00:00,news_detail_open,user_1f4f61d4,sess_fbc1d2690604,2,,,detail,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
2025-10-22T04:31:21.996409+00:00,session_start,user_cea7d5c3,sess_27d705afd78c,,,,home,,"{""ua"": {}, ""note"": ""MVP session start""}"
2025-10-22T04:31:21.997911+00:00,glossary_click,user_cea7d5c3,sess_27d705afd78c,2,PER,news_highlight,detail,,"{""via"": ""query_param""}"
2025-10-22T04:31:21.997911+00:00,glossary_answer,user_cea7d5c3,sess_27d705afd78c,2,PER,news_highlight,detail,,"{""answer_len"": 177}"
2025-10-22T04:31:22.003054+00:00,news_detail_open,user_cea7d5c3,sess_27d705afd78c,2,,,detail,,"{""title"": ""삼성전자, 분기 배당 20% 증액 발표""}"
